"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"535033773bc410d7555a33b347c14d42","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","s__Candidatus_Magasanikbacteria"
"0ae0ad006ea3363f72b2de55039b4e89","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","s__Candidatus_Magasanikbacteria"
"2b0b1437d7254b49b34418867b2eeb4e","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","s__uncultured_bacterium"
"5315ba819a91bfb7994fd5b6ad77c20a","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","s__Candidatus_Magasanikbacteria"
"082cd2dcf17f28dca0e134e35c422371","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","d__Bacteria"
"2155327cf503519212fccdef30439b3d","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"f9508db6abb763f2979cc96a5202c715","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"8c06167a196f27a1d13149c6778612b5","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"b753e33e106a088e499ae60195075d12","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_bacterium"
"1572a2990b81e8ea6ef728b32c3a4c40","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_bacterium"
"a94c70a224ac2ccc61a2f7bcd84e59a7","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_Parcubacteria"
"43b5b5fe46679924ad8fe1a09d6736d8","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","d__Bacteria"
"bd21f1286b085d82f8c88791a999f09e","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_bacterium"
"9227090b24d814412f353d850c3552f7","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_soil"
"b3fd4d321b9abd620316908ddaa48adb","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_soil"
"ddf33d11087796b6fe35cd3c2231fb7e","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_Parcubacteria"
"73bbc701d97cb2c31befa0cba3d6815b","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_bacterium"
"dfe223f025c42cf542bc3bf5645b74c8","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","d__Bacteria"
"135562aab52e5b959f44d8bb06f81b38","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Falkowbacteria","f__Candidatus_Falkowbacteria","g__Candidatus_Falkowbacteria","s__uncultured_bacterium"
"27b6cbc710e75fdec83e76a3d16c6de3","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"e9d34a98df28b3e336d9648474bad659","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","s__uncultured_bacterium"
"78a9fcfacc882d6820968697755bd933","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","s__uncultured_bacterium"
"8d23bab43a38e002c679ac604f0933e8","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Magasanikbacteria","f__Candidatus_Magasanikbacteria","g__Candidatus_Magasanikbacteria","d__Bacteria"
"5026e6c11a2f7a2a43378ef2e77b43f4","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"0137747f5ddb3976bcc7905ec6001d5d","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"5add27746bd2a3f755dd21181b145500","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"b7ac00ee6eaebab543e8f23596480cfa","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"c9e248d52065af38f9a0ce29fa83ba00","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__UBA9983","f__UBA9983","g__UBA9983","d__Bacteria"
"a2e8f7644ba19ba35dc4ab5c4b0d8022","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__UBA9983","f__UBA9983","g__UBA9983","s__uncultured_bacterium"
"447e3b0942028349e455f7926186decb","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"e9b931b07772b002e1ac06cab2f85fde","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__UBA9983","f__UBA9983","g__UBA9983","s__uncultured_bacterium"
"1740c83a1d446bc2176e99a05a60dedc","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__UBA9983","f__UBA9983","g__UBA9983","s__uncultured_bacterium"
"438010803501c6973bd95930a8ffd420","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","s__uncultured_bacterium"
"9acc40d9c1b865f08d12d4a4a6cc53ab","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","s__Candidatus_Giovannonibacteria"
"537832d3c0dbb7cf0292c5e936282c91","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","s__Candidatus_Giovannonibacteria"
"a6e0f36ebbbbd7e049f7c33dfe241886","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","d__Bacteria"
"e96efe5baebd070d7419c3d59cb05c09","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Ryanbacteria","f__Candidatus_Ryanbacteria","g__Candidatus_Ryanbacteria","s__Candidatus_Ryanbacteria"
"0188c5753322dcbc91c6cc3c344d989b","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Ryanbacteria","f__Candidatus_Ryanbacteria","g__Candidatus_Ryanbacteria","s__Candidatus_Ryanbacteria"
"85bb2d5be0a30a0865ab0726476ec4e0","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","s__uncultured_bacterium"
"79036b4d597bec9c3e023dab19d32d8f","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","d__Bacteria"
"5b0eef8557c57bc2d9dbf22f5ae33408","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"bcac60af5403b4f5978b981d91251c6f","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Vogelbacteria","f__Candidatus_Vogelbacteria","g__Candidatus_Vogelbacteria","s__uncultured_Parcubacteria"
"73db471a235683edd929a9d00cf2009a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Vogelbacteria","f__Candidatus_Vogelbacteria","g__Candidatus_Vogelbacteria","d__Bacteria"
"a308b58f347e2539f01d65ea9e457976","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","d__Bacteria"
"37c9bac69809a5956f21915cd43f532f","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Vogelbacteria","f__Candidatus_Vogelbacteria","g__Candidatus_Vogelbacteria","s__uncultured_Parcubacteria"
"371ae478237695145e24d7638ee5e6c6","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"928b82b1f24e49e74ef3b1066d18eb18","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"a297fa77be6d0d2e59a70f07013dce73","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","s__uncultured_bacterium"
"9b3da4492693b7dbcf422496290b50f1","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"48e2aa72743dc3f3d3ec5953fc17b5cb","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__metagenome"
"81f481eda1ac4f49344a436003be44a4","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"3615d053cca49f80bd8d1ea9a28c855b","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"bcd269a84477abcabda95031272e3067","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"daa19711e08cfb744262c4ca65551786","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"23b7e73ffca4c143fcf7162a8d4319cf","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"9d9ad0975d88bed95b4e34c1d284437d","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","d__Bacteria"
"5a101c07df7f96bea18b4e5aa3f58cf1","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_bacterium"
"3cb682cd23195c4662ad84e3d4e1d09c","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","d__Bacteria"
"d1426d132ebb8022db65cdd209a264cd","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_bacterium"
"a3dec0d41b3c96013015905ceaa8df3a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"8fd820045ec48b4608e5621391e5d5d2","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_Parcubacteria"
"abfc375aaffbc4007c51f96f3fd1946e","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_Parcubacteria"
"4dc46683bc5d1a87d34a0e014a5e8904","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_Parcubacteria"
"6f660a159f3bf3304fef26af5acf6917","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"5b5ce811f9fe81528b0d25e1d4afe4ea","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","s__Candidatus_Zambryskibacteria"
"bb7de0f3c09c20f6f8056adc5cc2908a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","d__Bacteria"
"c07e9c5246f445d8da7a8bbd09ffefd6","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","s__uncultured_bacterium"
"6e8d27f302efb7dd6ab1343cbac66852","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","d__Bacteria"
"017f16de38c92ce1a92c9b7e5f5cbbdb","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","d__Bacteria"
"69547ec92e8545836fd31609ea587b21","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Vogelbacteria","f__Candidatus_Vogelbacteria","g__Candidatus_Vogelbacteria","s__Candidatus_Vogelbacteria"
"4f79cb2924bee2ae0fbdaa88c412cc27","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","s__Candidatus_Nomurabacteria"
"2affebab74049e4955bad71090f7b2f8","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","s__Candidatus_Nomurabacteria"
"9fb973c1a63f55259426f697e206893a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","s__Candidatus_Nomurabacteria"
"7074b10b1e599b93006e1aee7c6dd93a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","d__Bacteria"
"f9f819bb04d8db81c2d6cae6f0df2747","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","s__uncultured_soil"
"f34858cb6ad7a7096b6fb9e897031bbd","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","s__uncultured_Parcubacteria"
"9b83f217b221747c76133c63664dd4ee","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nomurabacteria","f__Candidatus_Nomurabacteria","g__Candidatus_Nomurabacteria","d__Bacteria"
"52c783fec08903f61a18a591b802498d","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Adlerbacteria","f__Candidatus_Adlerbacteria","g__Candidatus_Adlerbacteria","s__uncultured_bacterium"
"c3e62bc218c4095985538ec85075fc08","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"11b364d194c6857577b5ce330d875ba7","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yonathbacteria","f__Candidatus_Yonathbacteria","g__Candidatus_Yonathbacteria","s__uncultured_bacterium"
"dc855ac77d754f30abd9fb0ad07685b0","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"3cf35195ed70cd84478f198bb29a4641","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__32-520","f__32-520","g__32-520","s__uncultured_bacterium"
"7f3801d4fcc9223fa4b946c9e0009d54","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","s__Candidatus_Zambryskibacteria"
"b90fbe3c9133cf4e5631cca31dd9eb02","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Adlerbacteria","f__Candidatus_Adlerbacteria","g__Candidatus_Adlerbacteria","s__Candidatus_Adlerbacteria"
"79db43fceffd9aa522be0802077066b7","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"946e614a481dfb97e9fa5e58bfa8b352","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_Parcubacteria"
"43dbc456934c30c34421107f9354ba31","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"5d608e42a006556ab25feb7b865d7ad9","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Adlerbacteria","f__Candidatus_Adlerbacteria","g__Candidatus_Adlerbacteria","s__uncultured_bacterium"
"1cf0d368138bdcb902a0eab602da67fa","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","d__Bacteria"
"b6512a8168d2b0056350247a4413808e","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_Parcubacteria"
"ec02b17093ef5f70f567a921d763fbba","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Kaiserbacteria","f__Candidatus_Kaiserbacteria","g__Candidatus_Kaiserbacteria","s__uncultured_bacterium"
"7450c50b68cd3569ec74e334cfbcda29","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__GWB1-42-6","f__GWB1-42-6","g__GWB1-42-6","d__Bacteria"
"b89db9c8b9b4442fa2b60b62dea511e4","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"1b25a74c09282d4105a78ed4d13935fc","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__GWB1-42-6","f__GWB1-42-6","g__GWB1-42-6","d__Bacteria"
"00fa38caed9c9eae6146755b2a3d8123","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__GWB1-42-6","f__GWB1-42-6","g__GWB1-42-6","s__uncultured_bacterium"
"35c9805007b8ec3ca36da3fea3ccacef","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__GWB1-42-6","f__GWB1-42-6","g__GWB1-42-6","s__uncultured_bacterium"
"78b2defb46396adc2d0a4353fdba2abb","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__GWB1-42-6","f__GWB1-42-6","g__GWB1-42-6","s__uncultured_bacterium"
"f64cb38d4a867c288434165bdfc75544","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_bacterium"
"2ae5085a896a261c5dfcdcbbe9c5e857","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","s__Parcubacteria_group"
"4a599bf35e771638c7ff6ab4ff230f23","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__GWB1-42-6","f__GWB1-42-6","g__GWB1-42-6","s__uncultured_bacterium"
"8fd59670ee0cc58cfd76a3572d9d1d00","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Terrybacteria","f__Candidatus_Terrybacteria","g__Candidatus_Terrybacteria","s__Candidatus_Terrybacteria"
"5bb29bd297890924af5450f6d60bd797","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","s__Parcubacteria_group"
"2a7c34ff37df653f6722d366553b0b72","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"4497f398ff3c71e9509f1a45b1141d4d","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Staskawiczbacteria","f__Candidatus_Staskawiczbacteria","g__Candidatus_Staskawiczbacteria","s__Candidatus_Staskawiczbacteria"
"d4750f9d89cff16784aeb47af4c6b3e8","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Staskawiczbacteria","f__Candidatus_Staskawiczbacteria","g__Candidatus_Staskawiczbacteria","s__Parcubacteria_group"
"da6b092713c2801bdf401302004b019c","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Staskawiczbacteria","f__Candidatus_Staskawiczbacteria","g__Candidatus_Staskawiczbacteria","s__uncultured_bacterium"
"03c7c8b9bf388f6325a1ea77b2e17f93","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_bacterium"
"b195a7db061cfb01e69d6f4247eaebd9","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"dd49daa3a0f2a4f47f34367589b21798","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"cda90d3826ac1b84e4099304e4e81d2e","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__uncultured_bacterium"
"aa64e2e6a09746e8d295785a37d84cd9","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__uncultured_bacterium"
"c8851be0d57317f886601b1adcc88a03","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Parcubacteria","f__Parcubacteria","g__Parcubacteria","s__uncultured_bacterium"
"40b94fb02961dec651b7eb58f5f51ff9","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Nealsonbacteria","f__Candidatus_Nealsonbacteria","g__Candidatus_Nealsonbacteria","s__Candidatus_Nealsonbacteria"
"1fa5fb0ac9f3f45af4ae236c47728c57","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"c790cd429a4ebeea691c41adf3d87e49","d__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus_Kerfeldbacteria","f__Candidatus_Kerfeldbacteria","g__Candidatus_Kerfeldbacteria","s__uncultured_bacterium"
"c558c9072df6efef5bdd90db6f1d2bb1","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Azambacteria","f__Candidatus_Azambacteria","g__Candidatus_Azambacteria","s__Parcubacteria_group"
"2fbd08ea983c935717d5945dfbddf278","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Giovannonibacteria","f__Candidatus_Giovannonibacteria","g__Candidatus_Giovannonibacteria","s__uncultured_bacterium"
"6913bab6b56c00e00259e1c6eb8b0966","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria","p__Patescibacteria","c__Parcubacteria","d__Bacteria"
"726312799179105ef6ce002c8716e0b1","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Brennerbacteria","f__Candidatus_Brennerbacteria","g__Candidatus_Brennerbacteria","s__Parcubacteria_group"
"c459d23139052aac80048c51e99d3bc7","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Brennerbacteria","f__Candidatus_Brennerbacteria","g__Candidatus_Brennerbacteria","s__Parcubacteria_group"
"d3e6df7a868396ab9dfdc418e5201f33","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Brennerbacteria","f__Candidatus_Brennerbacteria","g__Candidatus_Brennerbacteria","s__Parcubacteria_group"
"d1cbeb1bbc724f0bf888cbec009528bd","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Brennerbacteria","f__Candidatus_Brennerbacteria","g__Candidatus_Brennerbacteria","s__Parcubacteria_group"
"5e1db44779b1dddcf13a67b05d473449","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Brennerbacteria","f__Candidatus_Brennerbacteria","g__Candidatus_Brennerbacteria","s__Parcubacteria_group"
"47061f3c89cb6167b68c84886f5c5938","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__Candidatus_Yanofskybacteria"
"8be6aaf466fbeb1a416ac9a90d92d29a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__Candidatus_Yanofskybacteria"
"edbc47276b130b9dce6f3aa88a9ba39a","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__Candidatus_Yanofskybacteria"
"dd7a6dba19e55ecb2f0418d5dc7a641f","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__Candidatus_Yanofskybacteria"
"85315ab0b7cdfb428d22ee465d28e45c","d__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus_Yanofskybacteria","f__Candidatus_Yanofskybacteria","g__Candidatus_Yanofskybacteria","s__Candidatus_Yanofskybacteria"
